date,close,volume,return,sentiment_score,article_count,sentiment_label,volatility_10d,volatility_20d,garch_volatility,abs_return,sentiment_extremity
2025-10-21,46.81,385800,-0.9102455546147304,0.3359839693389833,1,positive,,,38.04895302744425,0.9102455546147304,0.3359839693389833
2025-10-22,45.95,670400,-1.8372142704550345,0.1397033080185353,25,positive,,,37.266518483295286,1.8372142704550345,0.1397033080185353
2025-10-23,46.53,254400,1.262241566920563,0.0806301671485025,31,positive,,,37.06857019191474,1.262241566920563,0.0806301671485025
2025-10-24,48.1,583800,3.374167203954448,0.0608786975360729,22,positive,,,36.58542238786798,3.374167203954448,0.0608786975360729
2025-10-27,48.91,807600,1.6839916839916702,0.0630243509065646,13,positive,,,37.52809108883886,1.6839916839916702,0.0630243509065646
2025-10-28,48.45,560400,-0.9405029646288976,0.1718784331846568,9,positive,,,37.083555507694086,0.9405029646288976,0.1718784331846568
2025-10-29,48.6,980000,0.3095975232198178,0.1073334938072945,35,positive,,,36.561988861566746,0.3095975232198178,0.1073334938072945
2025-10-30,47.73,314400,-1.790123456790138,0.1237007142162322,20,positive,,,36.02964689193493,1.790123456790138,0.1237007142162322
2025-10-31,49.12,684300,2.912214540121516,0.108917209708769,19,positive,,,36.1444198892172,2.912214540121516,0.108917209708769
2025-11-03,49.14,950100,0.0407166123778557,0.0665901832371949,13,positive,29.462127515631288,,36.82851843345621,0.0407166123778557,0.0665901832371949
2025-11-04,47.93,666000,-2.4623524623524684,0.0511625922643295,23,positive,32.30355770422926,,36.22083035961728,2.4623524623524684,0.0511625922643295
2025-11-05,51.28,1999200,6.989359482578772,0.0273269662071019,12,neutral,44.413057887470224,,36.70359847345603,6.989359482578772,0.0273269662071019
2025-11-06,50.24,1282800,-2.028081123244929,0.1192743113982304,20,positive,47.14271216767298,,42.31319558661857,2.028081123244929,0.1192743113982304
2025-11-07,50.39,1790600,0.2985668789808882,0.1200872736403842,30,positive,44.93311287412825,,40.9093946175913,0.2985668789808882,0.1200872736403842
2025-11-10,52.86,2155200,4.901766223457038,0.0749536149791226,13,positive,49.93010989360366,,39.27567350482991,4.901766223457038,0.0749536149791226
2025-11-11,51.85,902441,-1.9107075293227305,0.1171020818724607,24,positive,51.113173919495814,,41.01998804519553,1.9107075293227305,0.1171020818724607
2025-11-12,50.57,1074400,-2.468659594985534,0.1975801151676177,25,positive,53.589811406133556,,39.879367338895094,2.468659594985534,0.1975801151676177
2025-11-13,48.48,829800,-4.132885109748874,0.0629029784643815,18,positive,57.47907569959795,,39.36485917990035,4.132885109748874,0.0629029784643815
2025-11-14,49.51,1736500,2.1245874587458857,0.1133920535515844,25,positive,56.57266467123007,,40.4479619647339,2.1245874587458857,0.1133920535515844
2025-11-17,48.76,1206500,-1.514845485760452,0.1339021967119684,19,positive,57.181098047850654,44.41023251724049,39.45500405992597,1.514845485760452,0.1339021967119684
2025-11-18,48.22,1143600,-1.1074651353568443,0.0763211387022127,31,positive,55.952233948023064,44.48079759391577,38.525424467680814,1.1074651353568443,0.0763211387022127
2025-11-19,47.62,524100,-1.2442969722107011,0.2402562804337176,9,positive,40.8589231758878,44.171962272473245,37.679917605825125,1.2442969722107011,0.2402562804337176
2025-11-20,45.66,1381000,-4.115917681646364,0.1882918458865955,16,positive,43.97293137635662,46.54235140164452,37.10245434094151,4.115917681646364,0.1882918458865955
2025-11-21,45.94,1332400,0.6132282084975849,0.0324958304081856,20,neutral,44.244017491286165,44.84600134935061,38.84565614900961,0.6132282084975849,0.0324958304081856
