date,close,volume,return,sentiment_score,article_count,sentiment_label
2025-12-24,690.38,39445600,0.351764637478924,0.16196287963252373,27,positive
2025-12-26,690.31,41613300,-0.0101393435499308,0.01730984135426577,20,neutral
2025-12-29,687.85,62559500,-0.3563616346279108,0.2316801368748807,49,positive
2025-12-30,687.01,47160700,-0.1221196481791087,-0.019980712550404425,22,neutral
2025-12-31,681.92,74144800,-0.7408916900772944,0.06927584546023888,42,positive
2026-01-13,693.77,78309700,1.7377404974190602,0.023829183095652167,18,neutral
2026-01-14,690.36,94676700,-0.4915173616616419,0.07651446460701988,32,positive
2026-01-15,692.24,77862000,0.2723216872356548,0.1288899167449679,32,positive
2026-01-16,691.66,79289200,-0.0837859701837584,0.17235935614611952,24,positive
2026-01-20,677.58,111623300,-2.035682271636341,-0.04501647856359684,12,neutral
2026-01-21,685.4,127844500,1.15410726408689,0.04943595743626354,21,neutral
2026-01-22,688.98,77112200,0.5223227312518341,0.03370517808263274,22,neutral
2026-01-23,689.23,63059600,0.0362855235275239,0.2076374795673622,9,positive
2026-01-26,692.73,60473800,0.5078130667556469,0.05839498235881326,12,positive
2026-01-27,695.49,55506100,0.3984236282534414,0.21355638046615888,14,positive
2026-01-28,695.42,61172200,-0.0100648463673191,0.018950017719939333,10,neutral
2026-01-29,694.04,97486200,-0.1984412297604265,0.180558566833809,10,positive
2026-01-30,691.97,101835100,-0.2982537029565968,0.11962643578267756,18,positive
2026-02-01,683.17,89377200,-1.271731433443657,-0.0689379562792679,6,negative
2026-02-02,695.41,79286500,1.7916477597084146,0.04455504955884353,13,neutral
2026-02-13,681.75,96267500,-1.9643088250096976,-0.1483588572692784,17,negative
2026-02-17,682.85,81354700,0.1613494682801697,0.10870939757868645,10,positive
2026-02-18,686.29,73570300,0.5037709599472695,0.08181340070828792,15,positive
2026-02-19,684.48,58649400,-0.2637369042241544,-0.06727925489647317,24,negative
2026-02-20,689.43,100034000,0.7231767180925663,0.042173458214948556,15,neutral
2026-02-23,682.39,90558100,-1.0211334000551076,0.07092540875345467,10,positive
2026-02-24,687.35,73798700,0.7268570758657056,0.024685083422809825,4,neutral
2026-02-25,693.15,56369500,0.8438204699207086,0.07194821036361157,10,positive
2026-02-26,689.3,71671000,-0.5554353314578431,0.09959274923213651,9,positive
2026-02-27,685.99,83105100,-0.4801973016103189,-0.06614616169879835,6,negative
