date,close,volume,return,sentiment_score,article_count,sentiment_label,volatility_10d,volatility_20d,garch_volatility,abs_return,sentiment_extremity
2026-01-02,683.17,89377200,0.1833059596433539,0.0825994958817958,8,positive,,,11.22270137419834,0.1833059596433539,0.0825994958817958
2026-01-05,687.72,71927200,0.6660128518523933,0.1308703013053784,24,positive,,,11.424448681093473,0.6660128518523933,0.1308703013053784
2026-01-06,691.81,69273800,0.5947187808991838,0.2050298156177004,21,positive,,,11.565962923841333,0.5947187808991838,0.2050298156177004
2026-01-07,689.58,75588300,-0.3223428397970407,0.0331562822970605,21,neutral,,,11.625017284301794,0.3223428397970407,0.0331562822970605
2026-01-08,689.51,64019200,-0.0101511064706127,-0.1341816592571325,16,negative,,,11.629872930807387,0.0101511064706127,0.1341816592571325
2026-01-09,694.07,80125500,0.6613392119041217,0.1246641100366325,17,positive,,,11.619445962000379,0.6613392119041217,0.1246641100366325
2026-01-12,695.16,63976000,0.1570446784906254,0.1777170370593369,25,positive,,,11.66013895290978,0.1570446784906254,0.1777170370593369
2026-01-13,693.77,78309700,-0.1999539674319539,0.0812781578491131,27,positive,,,11.636353094419217,0.1999539674319539,0.0812781578491131
2026-01-14,690.36,94676700,-0.4915173616616419,0.1542891737739131,44,positive,,,11.627831196210122,0.4915173616616419,0.1542891737739131
2026-01-15,692.24,77862000,0.2723216872356548,0.1803806611148826,40,positive,6.533217051662515,,11.647222527677306,0.2723216872356548,0.1803806611148826
2026-01-16,691.66,79289200,-0.0837859701837584,0.2605756799656981,45,positive,6.633144324151774,,11.635037089050202,0.0837859701837584,0.2605756799656981
2026-01-20,677.58,111623300,-2.035682271636341,0.0153484695232965,17,neutral,12.082604040934935,,11.62304922955267,2.035682271636341,0.0153484695232965
2026-01-21,685.4,127844500,1.15410726408689,0.0968295704208016,25,positive,13.306845194108236,,12.076110004014279,1.15410726408689,0.0968295704208016
2026-01-22,688.98,77112200,0.5223227312518341,0.0668398448517421,30,positive,13.566675456432703,,11.980337305981083,0.5223227312518341,0.0668398448517421
2026-01-23,689.23,63059600,0.0362855235275239,0.1103237877753647,11,positive,13.568222305506852,,11.820418004513588,0.0362855235275239,0.1103237877753647
2026-01-26,692.73,60473800,0.5078130667556469,0.1681587864638251,17,positive,13.379025502098527,,11.713276806905508,0.5078130667556469,0.1681587864638251
2026-01-27,695.49,55506100,0.3984236282534414,0.2715480812164644,18,positive,13.520616343558824,,11.686870008821513,0.3984236282534414,0.2715480812164644
2026-01-28,695.42,61172200,-0.0100648463673191,0.2319197336593554,21,positive,13.472343164484679,,11.663371127122952,0.0100648463673191,0.2319197336593554
2026-01-29,694.04,97486200,-0.1984412297604265,0.1256092763775493,16,positive,13.23473230929004,,11.635894605948659,0.1984412297604265,0.1256092763775493
