date,close,volume,return (%)
2020-11-16,362.57,74541100,0.0
2020-11-17,360.62,66111000,-0.5378271782000676
2020-11-18,356.28,70591300,-1.2034828905773454
2020-11-19,357.78,59940900,0.42101717750084866
2020-11-20,355.33,70417300,-0.6847783554139397
2020-11-23,357.46,63230600,0.5994427715081851
2020-11-24,363.22,62415900,1.6113691042354494
2020-11-25,362.66,45330900,-0.15417653212929094
2020-11-27,363.67,28514100,0.2784977665030608
2020-11-30,362.06,83872700,-0.4427090494129371
2020-12-01,366.02,74231400,1.0937413688338893
2020-12-02,366.79,45927000,0.2103710179771623
2020-12-03,366.69,62882000,-0.027263556803625022
2020-12-04,369.85,50749900,0.8617633423327664
2020-12-07,369.09,48944300,-0.20548871163986737
2020-12-08,370.17,42458900,0.2926115581565636
2020-12-09,366.85,74098300,-0.8968852149012552
2020-12-10,366.73,57735400,-0.03271091726864128
2020-12-11,366.3,57698600,-0.11725247457257115
2020-12-14,364.66,69216200,-0.4477204477204455
2020-12-15,369.59,63865300,1.3519442768606282
2020-12-16,370.17,58420500,0.15693065288564512
2020-12-17,372.24,64119500,0.5592025285679592
2020-12-18,369.18,136542300,-0.822050290135401
2020-12-21,367.86,96386700,-0.357549163009907
2020-12-22,367.24,47949000,-0.16854238025335588
2020-12-23,367.57,46201400,0.08985949243001112
2020-12-24,369.0,26457900,0.3890415431074379
2020-12-28,372.17,39000400,0.8590785907859111
2020-12-29,371.46,53680500,-0.19077303382863953
2020-12-30,371.99,49455300,0.14268023474937053
2020-12-31,373.88,78520700,0.5080781741444662
2021-01-04,368.79,110210800,-1.3613993794800439
2021-01-05,371.33,66426200,0.6887388486672474
2021-01-06,373.55,107997700,0.5978509681415556
2021-01-07,379.1,68766800,1.4857448802034545
2021-01-08,381.26,71677200,0.5697705091004979
2021-01-11,378.69,51034700,-0.674080679851019
2021-01-12,378.77,52547700,0.02112545881856054
2021-01-13,379.79,45303600,0.2692927106159537
2021-01-14,378.46,49989100,-0.3501935280023294
2021-01-15,375.7,107160000,-0.7292712572002258
2021-01-19,378.65,51233300,0.7852009582113295
2021-01-20,383.89,61836100,1.383863726396406
2021-01-21,384.24,47840100,0.0911719502982633
2021-01-22,382.88,52860500,-0.35394545075994044
2021-01-25,384.39,70402000,0.39437944003342107
2021-01-26,383.79,42665300,-0.1560914696011828
2021-01-27,374.41,123351100,-2.44404492039918
2021-01-28,377.63,94198100,0.8600197644293539
2021-01-29,370.07,126765100,-2.001959590074942
2021-02-01,376.23,75817600,1.664549950009464
2021-02-02,381.55,64450700,1.4140286526858503
2021-02-03,381.85,52427100,0.07862665443585382
2021-02-04,386.19,47142600,1.1365719523372952
2021-02-05,387.71,48669800,0.3935886480747719
2021-02-08,390.51,38365200,0.7221892651724238
2021-02-09,390.25,35551100,-0.0665796010345443
2021-02-10,390.08,59154400,-0.04356181934657144
2021-02-11,390.71,42913300,0.161505332239531
2021-02-12,392.64,50593300,0.49397251158147526
2021-02-16,392.3,50972400,-0.08659331703341211
2021-02-17,392.39,52290600,0.02294162630638308
2021-02-18,390.72,59712800,-0.4255969825938344
2021-02-19,390.03,83241000,-0.17659705159706052
2021-02-22,387.03,67414200,-0.7691716021844486
2021-02-23,387.5,107284100,0.12143761465519542
2021-02-24,391.77,72433900,1.1019354838709638
2021-02-25,382.33,146670500,-2.409577047757616
2021-02-26,380.36,152701600,-0.5152616849318559
2021-03-01,389.58,105348800,2.424019350089379
2021-03-02,386.54,79595300,-0.7803275322141756
2021-03-03,381.42,119940200,-1.324571842500133
2021-03-04,376.7,183433000,-1.2374809920822294
2021-03-05,383.63,152039600,1.8396602070613222
2021-03-08,381.72,123149200,-0.4978755571774851
2021-03-09,387.17,113633600,1.4277480876034865
2021-03-10,389.58,109899400,0.6224655835937565
2021-03-11,393.53,86245000,1.0139124185019721
2021-03-12,394.06,64653600,0.13467842350012305
2021-03-15,396.41,73427200,0.5963558848906425
2021-03-16,395.91,73722500,-0.12613203501424808
2021-03-17,397.26,97959300,0.34098658786085867
2021-03-18,391.48,115349100,-1.4549665206665563
2021-03-19,389.48,113624500,-0.5108817819556521
2021-03-22,392.59,73778600,0.7985005648556864
2021-03-23,389.5,90686600,-0.7870806694006416
2021-03-24,387.52,97588600,-0.5083440308087384
2021-03-25,389.7,116128600,0.5625516102394812
2021-03-26,395.98,114409100,1.6114960225814823
2021-03-29,395.78,108107600,-0.050507601394023105
2021-03-30,394.73,76262200,-0.2652989034311881
2021-03-31,396.33,112734200,0.40534035923287526
2021-04-01,400.61,99682900,1.0799081573436453
2021-04-05,406.36,91684800,1.4353111504954885
2021-04-06,406.12,62021000,-0.05906093119402156
2021-04-07,406.59,55836300,0.11572934108143862
2021-04-08,408.52,57863100,0.47467965272141033
2021-04-09,411.49,61104600,0.7270145892489976
2021-04-12,411.64,56704900,0.03645289071423363
2021-04-13,412.86,56551000,0.2963754737149049
2021-04-14,411.45,61659900,-0.34152012788839503
2021-04-15,415.87,60229800,1.0742496050552885
2021-04-16,417.26,82037300,0.3342390650924454
2021-04-19,415.21,78498500,-0.49130038824714006
2021-04-20,412.17,81851800,-0.7321596300667088
2021-04-21,416.07,66793000,0.9462115146662731
2021-04-22,412.27,97582800,-0.9133078568510089
2021-04-23,416.74,73209200,1.0842409100832118
2021-04-26,417.61,52182400,0.20876325766665538
2021-04-27,417.52,51303100,-0.021551208064951588
2021-04-28,417.4,51238900,-0.028741138149068757
2021-04-29,420.06,78544300,0.6372783900335577
2021-04-30,417.3,85527000,-0.6570489930009971
2021-05-03,418.2,68128300,0.21567217828899476
2021-05-04,415.62,101591200,-0.6169296987087458
2021-05-05,415.75,60162200,0.031278571772297425
2021-05-06,419.07,74321400,0.7985568250150399
2021-05-07,422.12,67733800,0.727802037845704
2021-05-10,417.94,81852400,-0.9902397422533848
2021-05-11,414.21,116888000,-0.8924726037230268
2021-05-12,405.41,134811000,-2.1245262065135884
2021-05-13,410.28,106394000,1.2012530524653897
2021-05-14,416.58,82201600,1.5355367066393733
2021-05-17,415.52,65129200,-0.2544529262086481
2021-05-18,411.94,59810200,-0.8615710435117441
2021-05-19,410.86,106467100,-0.2621741030247038
2021-05-20,415.28,78022200,1.0757922406659182
2021-05-21,414.94,76578700,-0.08187247158543132
2021-05-24,419.17,51376700,1.0194244951077236
2021-05-25,418.24,57451400,-0.2218670229262587
2021-05-26,419.07,43088600,0.1984506503442951
2021-05-27,419.29,56707700,0.05249719617248516
2021-05-28,420.04,58520200,0.17887381048915518
2021-06-01,419.67,54216600,-0.08808684887153806
2021-06-02,420.33,49097100,0.1572664236185517
2021-06-03,418.77,58138800,-0.37113696381414485
2021-06-04,422.6,55938800,0.914583184086748
2021-06-07,422.19,51555000,-0.0970184571699062
2021-06-08,422.28,47134300,0.021317416329136307
2021-06-09,421.65,48436300,-0.14919011082693556
2021-06-10,423.61,51020100,0.4648405075299511
2021-06-11,424.31,45570800,0.16524633507235542
2021-06-14,425.26,42358500,0.2238929084867225
2021-06-15,424.48,51508500,-0.18341720359309477
2021-06-16,422.11,80386100,-0.5583301922352013
2021-06-17,421.97,90949700,-0.03316671009926386
2021-06-18,414.92,118676300,-1.6707348863663318
2021-06-21,420.86,72822000,1.4316012725344551
2021-06-22,423.11,57700300,0.5346195884617266
2021-06-23,422.6,49445400,-0.120536030819407
2021-06-24,425.1,45110300,0.5915759583530633
2021-06-25,426.61,58129500,0.3552105386967819
2021-06-28,427.47,53159600,0.2015892735754088
2021-06-29,427.7,35970500,0.053804945376279
2021-06-30,428.06,64827900,0.08417114800094438
2021-07-01,430.43,53441000,0.5536607017707862
2021-07-02,433.72,57697700,0.7643519271426369
2021-07-06,432.93,68710400,-0.18214516277783588
2021-07-07,434.46,63549500,0.3534058623795966
2021-07-08,430.92,97595200,-0.8148045850020602
2021-07-09,435.52,76238600,1.067483523623869
2021-07-12,437.08,52889600,0.3581925055106572
2021-07-13,435.59,52911300,-0.34089869131509465
2021-07-14,436.24,64130400,0.14922289308754166
2021-07-15,434.75,55126400,-0.34155510728040017
2021-07-16,431.34,75874700,-0.7843588269120239
2021-07-19,424.97,147987000,-1.4767932489451407
2021-07-20,431.06,99608200,1.4330423323999364
2021-07-21,434.55,64724400,0.809632069781463
2021-07-22,435.46,47878500,0.2094120354389606
2021-07-23,439.94,63766600,1.0287971340651403
2021-07-26,441.02,43719200,0.2454880210937871
2021-07-27,439.01,67397100,-0.45576164346288195
2021-07-28,438.83,52472400,-0.041001343932944856
2021-07-29,440.65,47435300,0.4147391928537303
2021-07-30,438.51,68951200,-0.48564620447066886
2021-08-02,437.59,58783300,-0.2098013728307313
2021-08-03,441.15,58053900,0.813546927489206
2021-08-04,438.98,46732200,-0.49189618043747885
2021-08-05,441.76,38969700,0.6332862544990547
2021-08-06,442.49,46930000,0.1652480985150362
2021-08-09,442.13,41222600,-0.08135777079708584
2021-08-10,442.68,43339300,0.12439780155157898
2021-08-11,443.78,44034300,0.2484864913707252
2021-08-12,445.11,38909400,0.2996980485826306
2021-08-13,445.92,39470300,0.18197748871064956
2021-08-16,446.97,73740000,0.23546824542519662
2021-08-17,444.04,92673900,-0.6555249793050999
2021-08-18,439.18,89351900,-1.094495991352129
2021-08-19,439.86,92812200,0.15483400883464782
